,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9877393291717225,0.9991910686178481,0.9929681446720173
MKV 12,1.0,1.0018755814302434,0.9991972511478558,0.9974267022777061
MKV 13,1.0,1.0042287391224602,0.9984307811449183,1.0006113839695123
MKV 14,1.0,1.004966675584195,1.0039430984146185,1.0017098391355426
MKV 15,1.0,1.000983826846475,1.0039233094975284,1.0008398521860153
MKV 16,1.0,0.998567488687177,0.9933194098588909,0.9990762310225721
MKV 17,1.0,1.0025612550149574,0.999719862732739,1.003841882522436
MKV 18,1.0,1.0025944992513895,0.9995487827388888,1.0017433394179298
MKV 19,1.0,1.0034611852793671,1.0113119204028296,0.9991927264654538
MKV 20,1.0,1.000055484658492,0.9770154802197193,1.000055484658492
