,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,203997,202459,205002,203751
MKV 12,133608,133483,133292,134205
MKV 13,98200,98469,97984,98321
MKV 14,86240,86216,86208,86259
MKV 15,83279,83589,83495,83358
MKV 16,74566,74623,74255,74613
MKV 17,100374,100322,99940,100299
MKV 18,97111,97570,97497,97680
MKV 19,99068,99262,100351,98453
MKV 20,144409,144519,140837,143800
