,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9948786703273412,1.014570404727988,0.9989796773414433
MKV 12,1.0,1.0022738017515027,1.0025964864885146,1.0018610654599758
MKV 13,1.0,1.0008869315227698,0.9990722900164133,1.0046487445331376
MKV 14,1.0,0.9986430692150677,1.000359528669512,0.9990605863796623
MKV 15,1.0,1.0025326483579797,1.001272325715383,1.0021725561743806
MKV 16,1.0,1.0004023767050714,0.9981490671566721,1.0002816636935499
MKV 17,1.0,1.0035742811501598,0.9924221246006389,1.0026857028753993
MKV 18,1.0,1.0016277807921867,1.0002354651460397,0.9972665567829319
MKV 19,1.0,1.0020617514780938,1.016069533579261,1.0052049118196977
MKV 20,1.0,1.0030007815989281,0.986894260830728,1.0047035506922732
