,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9964710444039795,1.0097819311583711,0.996682094599569
MKV 12,1.0,0.999100274416303,1.00077226445934,1.000569826203008
MKV 13,1.0,1.0016473124402594,0.9944784527465376,1.0014337719387443
MKV 14,1.0,1.0033353089518762,1.0014642819788726,1.0016037374054318
MKV 15,1.0,0.9988373208035671,0.9989811574051877,1.0034161192884883
MKV 16,1.0,0.998633696787848,0.9946553433171699,0.9969057250783615
MKV 17,1.0,0.9993916850324601,0.9924309662235608,0.9986736739232327
MKV 18,1.0,1.00344186333234,1.0047672375707637,1.002671296914652
MKV 19,1.0,1.0033199794141094,1.014147754220612,0.9975781305185828
MKV 20,1.0,1.002380074185938,0.9840284495417313,1.0033961292477713
