,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9957819581731312,1.006275503439742,1.0002946245746358
MKV 12,1.0,1.0015269931774247,1.0037084120023168,1.0041522179011741
MKV 13,1.0,1.0050043404994127,1.0011642751365981,1.0045549711484452
MKV 14,1.0,1.0013462699039042,1.0021586741562603,1.0023211550067312
MKV 15,1.0,1.003968301542962,1.0012348491206196,1.0016184915658606
MKV 16,1.0,1.0002409864378188,0.995220435649927,1.000174045760647
MKV 17,1.0,1.0013964530093562,0.9928282163305204,0.998643445648054
MKV 18,1.0,1.0018879346610439,1.002790859933717,1.004576189450139
MKV 19,1.0,1.0026041666666667,1.0060562015503876,1.001140584625323
MKV 20,1.0,0.9980335542122792,0.9772681636581431,0.9973134473040998
