,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9966615016888011,0.993508747061095,0.9836643318359786
MKV 12,1.0,1.0034623646222944,1.0024484400582818,1.0040632088083759
MKV 13,1.0,1.0053284336242536,1.0041137140815597,1.0017557290869188
MKV 14,1.0,1.0006492226717831,1.0003941709078683,1.0006608159337793
MKV 15,1.0,1.0018967587034815,0.9999759903961585,1.0028931572629052
MKV 16,1.0,1.0002408993576017,0.996105460385439,0.9980728051391863
MKV 17,1.0,0.9994222417021955,0.9906562537355063,0.9999103478503407
MKV 18,1.0,1.0039287881436991,1.0064691302156719,1.0063354280013577
MKV 19,1.0,1.0020587968149202,1.0120096480870346,0.999717420045011
MKV 20,1.0,0.9983080934154324,0.9800299550673989,0.998301159372053
