,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,1.0022562734210991,0.9982195059742196,0.994320076909494
MKV 12,1.0,1.005610499003497,1.002684917083443,1.0045049449103147
MKV 13,1.0,1.0021982942864702,0.9970180545095565,0.9990535121822142
MKV 14,1.0,0.9993150446381927,1.0017414119367984,1.002031647259598
MKV 15,1.0,1.0062855288617545,1.0039179395964282,1.0031607917603087
MKV 16,1.0,0.9980854197349043,0.9932119426964788,0.9994108983799705
MKV 17,1.0,1.0015895549246212,0.9970608229695685,1.0020694205622425
MKV 18,1.0,0.9995586212559792,1.0025969493543552,1.003489971464351
MKV 19,1.0,1.002106578774959,1.0111174946831565,0.9990424641932005
MKV 20,1.0,0.9986826961742724,0.9771759779247612,0.9998752027954574
