,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9924606734412761,1.0049265430373977,0.998794099913234
MKV 12,1.0,0.9990644272798036,0.9976348721633436,1.004468295311658
MKV 13,1.0,1.0027393075356414,0.9978004073319756,1.0012321792260692
MKV 14,1.0,0.999721706864564,0.9996289424860854,1.000220315398887
MKV 15,1.0,1.0037224270224185,1.0025936910865885,1.0009486184992615
MKV 16,1.0,1.0007644234637771,0.9958291982941286,1.000630314084167
MKV 17,1.0,0.9994819375535497,0.9956761711200112,0.999252794548389
MKV 18,1.0,1.0047265500303777,1.0039748329231497,1.005859274438529
MKV 19,1.0,1.0019582508983729,1.0129507005289295,0.9937921427706222
MKV 20,1.0,1.0007617253772272,0.9752646995685864,0.9957828113206241
