,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,1.0027345341718583,0.9979626002130678,0.9906181421859581
MKV 12,1.0,1.006030120527222,1.0025639290520982,1.0043985293122504
MKV 13,1.0,1.0019468341011946,0.998532229787581,1.0009988991723406
MKV 14,1.0,1.0023010947632662,1.002917044371615,1.0053808428050113
MKV 15,1.0,1.0039512400168138,1.0023419203747073,1.0024259893112353
MKV 16,1.0,0.9969742813918305,0.9946313576908145,1.0000937169480406
MKV 17,1.0,0.9998802036537886,0.9919037636018768,1.0006089647599081
MKV 18,1.0,0.9998664502475807,1.0045509646401347,1.002619629758994
MKV 19,1.0,0.9986796085190449,1.0108352736032575,1.0014312640480583
MKV 20,1.0,0.9977306063709075,0.976413527800072,0.9936968975728558
