,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9974242104591774,0.9991512160179765,0.999190466144313
MKV 12,1.0,1.001171276691594,1.0043096975703516,1.0024777006937562
MKV 13,1.0,1.0033743144330949,0.9997757253246886,1.0022937182702305
MKV 14,1.0,1.0006849951237635,1.0006385547763896,1.002345237542377
MKV 15,1.0,1.0025445292620865,1.0006721398050795,1.0015363195544673
MKV 16,1.0,0.9996112861068293,0.996769653508478,1.0016754909188392
MKV 17,1.0,1.0009385921118323,0.9918322516225662,1.0024463305042437
MKV 18,1.0,1.0030770493148438,1.0031180766390415,0.9998769180274063
MKV 19,1.0,0.9995668771845002,1.007181780638403,0.9993855699594073
MKV 20,1.0,0.9965014132904728,0.9764174472094441,1.0005680873468936
