,base case,w/ wire sync,w/ esp sync,w/o sync
MKV 11,1.0,0.9853295593979302,0.9973602006247525,0.990667820356764
MKV 12,1.0,1.003196302493266,1.0012079922568446,1.0020783469263725
MKV 13,1.0,0.999379652605459,0.9948134889964609,1.0018915510718789
MKV 14,1.0,1.004328097731239,1.001652123327516,1.0035136707388017
MKV 15,1.0,1.0036700328623858,1.0004917364292738,0.9998440835712058
MKV 16,1.0,1.0012324014413738,0.9945613588565458,0.9995177559577233
MKV 17,1.0,1.0008581035910638,0.9938436056315543,1.0015765158998613
MKV 18,1.0,1.0003689696522462,1.0015373735510253,1.0038434338775635
MKV 19,1.0,1.0037586008305295,1.015286997463955,1.0044759681933457
MKV 20,1.0,1.0026909126216286,0.9785004403942048,1.0007906289661486
