,Wall Power,Generator,UPS
MKV 11,88697,89008,89325
MKV 12,55563,55575,55676
MKV 13,67340,67271,67455
MKV 14,61484,61407,61597
MKV 15,59845,59850,60043
MKV 16,52402,53966,52690
MKV 17,59860,61547,59616
MKV 18,77327,77281,77293
MKV 19,95367,95572,95221
MKV 20,69416,69163,69411
