,Wall Power,Generator,UPS
MKV 11,89496,89338,89654
MKV 12,55593,55718,55540
MKV 13,67399,67225,67178
MKV 14,61421,61547,61525
MKV 15,59960,59901,60052
MKV 16,52529,52501,52482
MKV 17,59705,59890,59694
MKV 18,78590,77521,77354
MKV 19,94531,95985,94383
MKV 20,69440,69282,69211
