,Wall Power,Generator,UPS
MKV 11,88910,89673,89656
MKV 12,56048,55685,55772
MKV 13,67365,67432,67359
MKV 14,61384,61508,61370
MKV 15,59793,59976,60185
MKV 16,52615,52630,52760
MKV 17,59619,59643,59957
MKV 18,78254,77417,77461
MKV 19,93242,94943,94692
MKV 20,69594,69611,69739
