,Wall Power,Generator,UPS
MKV 11,89420,89582,89426
MKV 12,55650,55401,55718
MKV 13,67415,67427,67262
MKV 14,61590,61479,61472
MKV 15,60333,59951,59995
MKV 16,53297,52568,52375
MKV 17,59776,59818,59750
MKV 18,77436,77518,77626
MKV 19,96317,95109,95018
MKV 20,69511,69816,69825
